Material;62.5;125;250;500;1000;2000;4000;8000
Concrete / Stone / Brickwork / Tiles;2;2;3;3;3;4;7;14
Glass / Steel;15;15;5;3;3;2;2;2
Plasterboard - on Frame with Airspace;30;30;12;8;5;5;5;5
Wood - Plywood / Parquet;20;20;15;10;10;5;10;10
Curtains - close to wall;5;5;0;25;0;30;40;40
Carpet - Haircord on Felt underlay;5;5;5;10;20;45;65;65
Wood - Slats;10;10;36;74;91;61;50;35
Absorption - PU-Foam / Glasswool 50 mm;20;20;50;80;90;90;90;90
----------------------------------------------;0;0;0;0;0;0;0;0
Furnishing - Auditorium Seat occupied;37;37;48;68;73;77;74;74
Furnishing - Auditorium Seat unoccupied;13;13;33;59;56;61;62;62
